Name,Type,Level,Tonnage,Power Drain,Equip Slots,Damage Regular,Damage Heat,Damage Stability,Total Damage Regular,Total Damage Heat,Total Damage Stability,Number of Shots,Range Min,Range Optimal,Range Max,Heat Gen,Critical Chance,Cost,Accuracy,Projectiles per Shot,Attack Recoil,Refire Modifier,Indirect Fire,Ammo Category,Range Tag,Weapon Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Manf. Code,Weapon Model Name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westonmach / Spingfang product catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon, Reaper AC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Level,Tons,Drain,Slots,Damage / Shot,per,Attack,Total Damage,,,Shots,Range,,,Total Heat,Critical Mult.,Cost,Acc.,Pjct. / Shot,Recoil,Refire,Indirect Fire,Ammo Category,Range Tag,Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Maker Code,Weapon Model Name
,,,,,,Regular,Heat,Stability,Regular,Heat,Stability,,Min,Optimal,Max,,,,,,,,,,,,,,,,,,,,,
Reaper AC A-Lgt 1x T1,1,0,0.0625,0 0 1.00000,1,60,0,3,60,0,3,1,0,10,250,5,0.5000,8000,0.00,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,,WEAKEN_2x3`1.07722,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC A-Lgt 1x T2,2,0.31,0.0625,1 0 1.00225,1,71,0,6,71,0,6,1,0,13,313,9,0.5750,11656,-0.38,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,,WEAKEN_2x3`1.10179,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC A-Lgt 1x T3,3,0.63,0.0625,3 1 1.00636,1,83,0,10,83,0,10,1,0,15,375,13,0.6500,28683,-0.75,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,,WEAKEN_2x3`1.12531,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC A-Lgt 1x T4,4,0.94,0.0625,7 1 1.01169,1,94,0,15,94,0,15,1,0,18,438,16,0.7250,64995,-1.13,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,,WEAKEN_2x3`1.14789,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC A-Lgt 1x T5,5,1.25,0.0625,12 2 1.01800,1,105,0,22,105,0,22,1,0,20,500,20,0.8000,125000,-1.50,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,,WEAKEN_2x3`1.16961,Ballistic,WS,Reaper Light Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC B-Med 1x T1,1,1.3,0.0625,0 0 1.00000,1,75,1,16,75,1,16,1,0,10,250,12,0.9000,14000,-0.50,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,,WEAKEN_3x3`1.18167,Ballistic,WS,Reaper Medium Auto Cannon
